capability_code,item_code,item_name,evidence_source
ECG_PERFORMANCE,NORMAL_ECG_SIGNAL_TEST,Normal ECG Signal Test,LK Electrocardiograph.pdf (Uji Sinyal EKG Normal)
NIBP_LEAK_TEST,CUFF_LEAK_TEST,Cuff/Manometer Leak Test,LK Sphygmomanometer.pdf (Uji kebocoran)
NIBP_LEAK_TEST,RAPID_DEFLATION_RATE,Rapid Deflation Rate,LK Sphygmomanometer.pdf (Laju buang cepat)
NIBP_LEAK_TEST,PRESSURE_READING_ACCURACY,Pressure Reading Accuracy,LK Sphygmomanometer.pdf (Pengukuran akurasi tekanan)
VENTILATION_PERFORMANCE,TIDAL_VOLUME,Tidal Volume,LK Ventilator Transport.pdf (Pengukuran tidal volume)
VENTILATION_PERFORMANCE,MINUTE_VOLUME,Minute Volume,LK Ventilator Transport.pdf (Pengukuran minute volume)
VENTILATION_PERFORMANCE,VENT_RESPIRATION_RATE,Respiration Rate,LK Ventilator Transport.pdf (Pengukuran respiration rate)
VENTILATION_PERFORMANCE,IE_RATIO,I:E Ratio,LK Ventilator Transport.pdf (Pengukuran I:E Ratio)
VENTILATION_PERFORMANCE,INSPIRATORY_TIME,Inspiratory Time,LK Ventilator Transport.pdf (Inspiratory time / Ti)
VENTILATION_PERFORMANCE,EXPIRATORY_TIME,Expiratory Time,LK Ventilator Transport.pdf (Expiratory time / Te)
VENTILATION_PERFORMANCE,PEEP,Positive End-Expiratory Pressure,LK Ventilator Transport.pdf (PEEP)
VENTILATION_PERFORMANCE,PEAK_INSPIRATORY_PRESSURE,Peak Inspiratory Pressure,LK Ventilator Transport.pdf (Ppeak)
VENTILATION_PERFORMANCE,FIO2_ACCURACY,FiO2 Accuracy,LK Ventilator Transport.pdf (Pengukuran FIO2)
RESUSCITATOR_PRESSURE,MAX_PRESSURE,Maximum Pressure,LK Resusitator Paru dan Neopuff.pdf (nilai tekanan maksimum)
RESUSCITATOR_PRESSURE,PRESSURE_ACCURACY,Pressure Accuracy,LK Resusitator Paru dan Neopuff.pdf (Kalibrasi akurasi tekanan resuscitator)
TEMPERATURE_CHAMBER_STERILIZATION,CHAMBER_TEMPERATURE,Chamber Temperature,LK Autoclave.pdf (Suhu Chamber)
TEMPERATURE_CHAMBER_STERILIZATION,STERILIZATION_TEMPERATURE,Sterilization Temperature,LK Autoclave.pdf (Suhu Sterilisasi); LK Sterilisator.pdf; LK Oven.pdf (multi-point T1-T9 table)
TEMPERATURE_CHAMBER_STERILIZATION,STERILIZATION_TIME,Sterilization Time,LK Autoclave.pdf (Waktu Sterilisasi)
TEMPERATURE_COLD_STORAGE,STORAGE_TEMPERATURE_UNIFORMITY,Storage Temperature Uniformity (Multi-Point),"LK Blood Bank Refrigerator.pdf; LK Medical Refrigerator.pdf; LK Medical Freezer.pdf; LK Cold Chain, Vaccine Refrigerator.pdf (T1-T9 multi-point tables)"
INCUBATOR_ENVIRONMENT,AIR_TEMPERATURE_CALIBRATION,Air Temperature Calibration,LK Baby Incubator.pdf (Kalibrasi Suhu Udara)
INCUBATOR_ENVIRONMENT,OVERSHOOT_TEMPERATURE,Overshoot Temperature,LK Baby Incubator.pdf (Overshot Temperature)
INCUBATOR_ENVIRONMENT,TEMPERATURE_RECOVERY_TIME,Temperature Recovery Time,LK Baby Incubator.pdf (Waktu Pemulihan Lonjakan Suhu)
INCUBATOR_ENVIRONMENT,MATTRESS_TEMPERATURE,Mattress Temperature,LK Baby Incubator.pdf (Suhu Matras)
INCUBATOR_ENVIRONMENT,AIR_VELOCITY,Air Velocity,LK Baby Incubator.pdf (Kecepatan Udara)
INCUBATOR_ENVIRONMENT,NOISE_LEVEL,Noise Level,LK Baby Incubator.pdf (Kebisingan)
INCUBATOR_ENVIRONMENT,SKIN_TEMPERATURE_SENSOR,Skin Temperature Sensor Calibration,LK Baby Incubator.pdf (Kalibrasi Sensor Temperature Kulit)
WARMER_SURFACE_TEMPERATURE,MAX_MATTRESS_SURFACE_TEMPERATURE,Maximum Mattress Surface Temperature,LK Infant Warmer.pdf (Kalibrasi suhu maksimum pada permukaan matras)
WARMER_SURFACE_TEMPERATURE,WARMER_TEMPERATURE_CALIBRATION,Temperature Calibration,LK Infant Warmer.pdf (Kalibrasi suhu)
HUMIDIFIER_TEMPERATURE,TEMPERATURE_ACCURACY,Temperature Accuracy,LK Humidifier.pdf (Akurasi Suhu)
HUMIDIFIER_TEMPERATURE,MAXIMUM_TEMPERATURE,Maximum Temperature,LK Humidifier.pdf (Suhu Maksimum)
VACUUM_SUCTION,VACUUM_GAUGE_ACCURACY,Vacuum Gauge Accuracy,LK Suction Pump.pdf (Akurasi Vacuum Gauge)
VACUUM_SUCTION,MAXIMUM_VACUUM,Maximum Vacuum,LK Suction Pump.pdf (Maximum Vacuum)
VACUUM_SUCTION,TIME_TO_MAX_VACUUM,Time to Maximum Vacuum,LK Suction Pump.pdf (Waktu Yang Dibutuhkan Saat Daya Hisap Maksimum)
ROTATIONAL_SPEED,ROTATION_SPEED_ACCURACY,Rotation Speed Accuracy,LK Centrifuge.pdf (Kalibrasi Kecepatan Putar)
ROTATIONAL_SPEED,ROTATION_TIME_ACCURACY,Rotation Time Accuracy,LK Centrifuge.pdf (Kalibrasi Waktu Putar)
INFUSION_FLOW,OCCLUSION_TEST,Occlusion Test,LK Infusion Pump.pdf; LK Syringe Pump.pdf (Pengujian Occlusion/Pemampatan)
INFUSION_FLOW,FLOW_RATE_CALIBRATION,Flow Rate Calibration,LK Infusion Pump.pdf; LK Syringe Pump.pdf (Kalibrasi Laju aliran)
OPTICAL_MAGNIFICATION,MAGNIFICATION_4X,Objective Magnification 4x,LK Mikroskop Laboratorium.pdf (Pembesaran Objektif 4x)
OPTICAL_MAGNIFICATION,MAGNIFICATION_10X,Objective Magnification 10x,LK Mikroskop Laboratorium.pdf (Pembesaran Objektif 10x)
OPTICAL_MAGNIFICATION,MAGNIFICATION_RATIO,Magnification Ratio,LK Mikroskop Laboratorium.pdf (Nilai Ratio Pembesaran)
GAS_FLOW_RATE,FLOW_RATE_ACCURACY,Flow Rate Accuracy,"LK Flow Meter.pdf; LK Nebulizer Compressor.pdf; LK Nebulizer Ultrasonic.pdf; LK Oksigen Concentrator.pdf (Laju aliran gas)"
OXYGEN_CONCENTRATION,OXYGEN_CONCENTRATION_ACCURACY,Oxygen Concentration Accuracy,LK Oksigen Concentrator.pdf (Konsentrasi Oksigen, ≥90%)
ULTRASOUND_IMAGING,DEAD_ZONE_TEST,Dead Zone Test,LK Ultrasonograph (USG).pdf (Pengujian Dead Zone)
ULTRASOUND_IMAGING,AXIAL_LATERAL_RESOLUTION,Axial and Lateral Resolution,LK Ultrasonograph (USG).pdf (Pengujian Axial dan Lateral Resolution)
ULTRASOUND_IMAGING,PENETRATION_DEPTH,Penetration Depth,LK Ultrasonograph (USG).pdf (Pengujian Penetrasi Kedalaman)
ULTRASOUND_IMAGING,VERTICAL_DISTANCE_CALIBRATION,Vertical Distance Calibration,LK Ultrasonograph (USG).pdf (Kalibrasi Jarak Vertikal)
ULTRASOUND_IMAGING,HORIZONTAL_DISTANCE_CALIBRATION,Horizontal Distance Calibration,LK Ultrasonograph (USG).pdf (Kalibrasi Jarak Horizontal)
MASS_WEIGHING,REPEATABILITY,Repeatability (Daya Ulang),LK Timbangan Bayi.pdf; LK Timbangan Dewasa.pdf (Kalibrasi Daya Ulang Pembacaan)
MASS_WEIGHING,DEVIATION_FROM_NOMINAL,Deviation from Nominal Value,LK Timbangan Bayi.pdf; LK Timbangan Dewasa.pdf (Penyimpangan Dari Nilai Nominal)
