device_type_code,capability_item_code,param_code,param_name,uom_code,status,evidence_source
BABY_INCUBATOR,PROTECTIVE_EARTH_RESISTANCE,INCU_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,INSULATION_RESISTANCE,INCU_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,EQUIPMENT_LEAKAGE_CURRENT,INCU_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,APPLIED_PART_LEAKAGE_CURRENT,INCU_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,AIR_TEMPERATURE_CALIBRATION,INCU_AIR_TEMP,Air Temperature Calibration (multi-point Tc/T1-T5),DEG_C,CONFIRMED,LK Baby Incubator.pdf p2-3
BABY_INCUBATOR,OVERSHOOT_TEMPERATURE,INCU_OVERSHOOT_TEMP,Overshoot Temperature,DEG_C,CONFIRMED,LK Baby Incubator.pdf p3
BABY_INCUBATOR,TEMPERATURE_RECOVERY_TIME,INCU_RECOVERY_TIME,Temperature Recovery Time,MIN,CONFIRMED,LK Baby Incubator.pdf p3 (menit)
BABY_INCUBATOR,MATTRESS_TEMPERATURE,INCU_MATTRESS_TEMP,Mattress Temperature,DEG_C,CONFIRMED,LK Baby Incubator.pdf p3
BABY_INCUBATOR,AIR_VELOCITY,INCU_AIR_VELOCITY,Air Velocity,M_S,CONFIRMED,LK Baby Incubator.pdf p3 (m/detik)
BABY_INCUBATOR,NOISE_LEVEL,INCU_NOISE_LEVEL,Noise Level,DB,CONFIRMED,LK Baby Incubator.pdf p3 (dB)
BABY_INCUBATOR,SKIN_TEMPERATURE_SENSOR,INCU_SKIN_TEMP_SENSOR,Skin Temperature Sensor Accuracy,DEG_C,CONFIRMED,LK Baby Incubator.pdf p3
INFANT_WARMER,ROOM_TEMPERATURE,IW_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,ROOM_HUMIDITY,IW_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,INPUT_VOLTAGE,IW_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,PROTECTIVE_EARTH_RESISTANCE,IW_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,INSULATION_RESISTANCE,IW_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,EQUIPMENT_LEAKAGE_CURRENT,IW_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,APPLIED_PART_LEAKAGE_CURRENT,IW_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Infant Warmer.pdf [verified]
INFANT_WARMER,MAX_MATTRESS_SURFACE_TEMPERATURE,IW_MAX_MATTRESS_TEMP,Maximum Mattress Surface Temperature,DEG_C,CONFIRMED,LK Infant Warmer.pdf
INFANT_WARMER,WARMER_TEMPERATURE_CALIBRATION,IW_TEMP_CALIBRATION,Temperature Calibration,DEG_C,CONFIRMED,LK Infant Warmer.pdf
RADIANT_WARMER,ROOM_TEMPERATURE,RW_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,ROOM_HUMIDITY,RW_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,INPUT_VOLTAGE,RW_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,PROTECTIVE_EARTH_RESISTANCE,RW_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,INSULATION_RESISTANCE,RW_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,EQUIPMENT_LEAKAGE_CURRENT,RW_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,APPLIED_PART_LEAKAGE_CURRENT,RW_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Infant Warmer.pdf (shared doc) [verified]
RADIANT_WARMER,MAX_MATTRESS_SURFACE_TEMPERATURE,RW_MAX_MATTRESS_TEMP,Maximum Mattress Surface Temperature,DEG_C,CONFIRMED,LK Infant Warmer.pdf (shared doc)
RADIANT_WARMER,WARMER_TEMPERATURE_CALIBRATION,RW_TEMP_CALIBRATION,Temperature Calibration,DEG_C,CONFIRMED,LK Infant Warmer.pdf (shared doc)
PULSE_OXIMETERS,ROOM_TEMPERATURE,PULSEOX_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,ROOM_HUMIDITY,PULSEOX_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,INPUT_VOLTAGE,PULSEOX_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,PROTECTIVE_EARTH_RESISTANCE,PULSEOX_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,INSULATION_RESISTANCE,PULSEOX_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,EQUIPMENT_LEAKAGE_CURRENT,PULSEOX_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,APPLIED_PART_LEAKAGE_CURRENT,PULSEOX_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Pulse Oxymeter.pdf [verified]
PULSE_OXIMETERS,HEART_RATE,PULSEOX_HEART_RATE,Heart Rate,BPM,CONFIRMED,LK Pulse Oxymeter.pdf
PULSE_OXIMETERS,SPO2_ACCURACY,PULSEOX_SPO2,SpO2 Accuracy,SPO2,CONFIRMED,LK Pulse Oxymeter.pdf
OXYMETER_MONITOR,ROOM_TEMPERATURE,OXYM_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,ROOM_HUMIDITY,OXYM_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,INPUT_VOLTAGE,OXYM_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,PROTECTIVE_EARTH_RESISTANCE,OXYM_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,INSULATION_RESISTANCE,OXYM_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,EQUIPMENT_LEAKAGE_CURRENT,OXYM_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,APPLIED_PART_LEAKAGE_CURRENT,OXYM_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc) [verified]
OXYMETER_MONITOR,HEART_RATE,OXYM_HEART_RATE,Heart Rate,BPM,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc)
OXYMETER_MONITOR,SPO2_ACCURACY,OXYM_SPO2,SpO2 Accuracy,SPO2,CONFIRMED,LK Pulse Oxymeter.pdf (shared doc)
RESUSCITATORS_CARDIAC,ROOM_TEMPERATURE,RESUS_C_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,ROOM_HUMIDITY,RESUS_C_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,INPUT_VOLTAGE,RESUS_C_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,PROTECTIVE_EARTH_RESISTANCE,RESUS_C_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,INSULATION_RESISTANCE,RESUS_C_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,EQUIPMENT_LEAKAGE_CURRENT,RESUS_C_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,APPLIED_PART_LEAKAGE_CURRENT,RESUS_C_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2
RESUSCITATORS_CARDIAC,MAX_PRESSURE,RESUS_C_MAX_PRESSURE,Maximum Pressure,CMH2O,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p2
RESUSCITATORS_CARDIAC,PRESSURE_ACCURACY,RESUS_C_PRESSURE_ACC,Pressure Accuracy,CMH2O,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p2
RESUSCITATORS_PULMONARY,ROOM_TEMPERATURE,RESUS_P_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,ROOM_HUMIDITY,RESUS_P_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,INPUT_VOLTAGE,RESUS_P_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,PROTECTIVE_EARTH_RESISTANCE,RESUS_P_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,INSULATION_RESISTANCE,RESUS_P_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,EQUIPMENT_LEAKAGE_CURRENT,RESUS_P_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,APPLIED_PART_LEAKAGE_CURRENT,RESUS_P_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p1-2 (shared doc)
RESUSCITATORS_PULMONARY,MAX_PRESSURE,RESUS_P_MAX_PRESSURE,Maximum Pressure,CMH2O,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p2 (shared doc)
RESUSCITATORS_PULMONARY,PRESSURE_ACCURACY,RESUS_P_PRESSURE_ACC,Pressure Accuracy,CMH2O,CONFIRMED,LK Resusitator Paru dan Neopuff.pdf p2 (shared doc)
STERILLIZER,ROOM_TEMPERATURE,STER_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,ROOM_HUMIDITY,STER_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,INPUT_VOLTAGE,STER_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,PROTECTIVE_EARTH_RESISTANCE,STER_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,INSULATION_RESISTANCE,STER_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,EQUIPMENT_LEAKAGE_CURRENT,STER_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,APPLIED_PART_LEAKAGE_CURRENT,STER_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Sterilisator.pdf p1-2
STERILLIZER,STERILIZATION_TEMPERATURE,STER_TEMP,Sterilization Temperature (multi-point T1-T9),DEG_C,CONFIRMED,LK Sterilisator.pdf p2
VENTILATOR,ROOM_TEMPERATURE,VENT_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,ROOM_HUMIDITY,VENT_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,INPUT_VOLTAGE,VENT_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,PROTECTIVE_EARTH_RESISTANCE,VENT_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,INSULATION_RESISTANCE,VENT_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,EQUIPMENT_LEAKAGE_CURRENT,VENT_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,APPLIED_PART_LEAKAGE_CURRENT,VENT_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Ventilator Transport.pdf p1-2
VENTILATOR,TIDAL_VOLUME,VENT_TIDAL_VOLUME,Tidal Volume,ML,CONFIRMED,LK Ventilator Transport.pdf p2
VENTILATOR,MINUTE_VOLUME,VENT_MINUTE_VOLUME,Minute Volume,L,CONFIRMED,LK Ventilator Transport.pdf p2
VENTILATOR,VENT_RESPIRATION_RATE,VENT_RESP_RATE,Respiration Rate,RPM,CONFIRMED,LK Ventilator Transport.pdf p2
VENTILATOR,IE_RATIO,VENT_IE_RATIO,I:E Ratio,,BLOCKED,"LK Ventilator Transport.pdf p3 (ratio e.g. 1:2 - not a standard physical Uom, needs design decision)"
VENTILATOR,INSPIRATORY_TIME,VENT_INSP_TIME,Inspiratory Time,SEC,CONFIRMED,LK Ventilator Transport.pdf p3
VENTILATOR,EXPIRATORY_TIME,VENT_EXP_TIME,Expiratory Time,SEC,CONFIRMED,LK Ventilator Transport.pdf p3
VENTILATOR,PEEP,VENT_PEEP,Positive End-Expiratory Pressure,CMH2O,CONFIRMED,LK Ventilator Transport.pdf p3
VENTILATOR,PEAK_INSPIRATORY_PRESSURE,VENT_PPEAK,Peak Inspiratory Pressure,CMH2O,CONFIRMED,LK Ventilator Transport.pdf p3
VENTILATOR,FIO2_ACCURACY,VENT_FIO2,FiO2 Accuracy,PERCENT,CONFIRMED,LK Ventilator Transport.pdf p4
BLOOD_BANK_REFRIGERATORS,ROOM_TEMPERATURE,BBR_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,ROOM_HUMIDITY,BBR_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,INPUT_VOLTAGE,BBR_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,PROTECTIVE_EARTH_RESISTANCE,BBR_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,INSULATION_RESISTANCE,BBR_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,EQUIPMENT_LEAKAGE_CURRENT,BBR_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,APPLIED_PART_LEAKAGE_CURRENT,BBR_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Blood Bank Refrigerator.pdf [verified]
BLOOD_BANK_REFRIGERATORS,STORAGE_TEMPERATURE_UNIFORMITY,BBR_STORAGE_TEMP,"Storage Temperature Uniformity (multi-point T1-T9, 2-8C)",DEG_C,CONFIRMED,LK Blood Bank Refrigerator.pdf p2
ELECTROCARDIOGRAPHS,ROOM_TEMPERATURE,ECG_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,ROOM_HUMIDITY,ECG_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,INPUT_VOLTAGE,ECG_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,PROTECTIVE_EARTH_RESISTANCE,ECG_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,INSULATION_RESISTANCE,ECG_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,EQUIPMENT_LEAKAGE_CURRENT,ECG_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,APPLIED_PART_LEAKAGE_CURRENT,ECG_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Electrocardiograph.pdf p1-2
ELECTROCARDIOGRAPHS,AMPLITUDE_ACCURACY,ECG_AMPLITUDE,Amplitude Accuracy,MM,CONFIRMED,LK Electrocardiograph.pdf p2
ELECTROCARDIOGRAPHS,RECORDING_SPEED,ECG_REC_SPEED,Recording Speed,MM,CONFIRMED,LK Electrocardiograph.pdf p3
ELECTROCARDIOGRAPHS,ECG_HEART_RATE_CALIBRATION,ECG_HR_CAL,Heart Rate Calibration,BPM,CONFIRMED,LK Electrocardiograph.pdf p3
ELECTROCARDIOGRAPHS,SINUSOIDAL_SIGNAL_TEST,ECG_SINUSOID_TEST,Sinusoidal Signal Test,MM,CONFIRMED,LK Electrocardiograph.pdf p3
ELECTROCARDIOGRAPHS,NORMAL_ECG_SIGNAL_TEST,ECG_NORMAL_TEST,Normal ECG Signal Test,MM,CONFIRMED,LK Electrocardiograph.pdf p3
BREAST_PUMPS,ROOM_TEMPERATURE,BREASTP_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,ROOM_HUMIDITY,BREASTP_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,INPUT_VOLTAGE,BREASTP_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,PROTECTIVE_EARTH_RESISTANCE,BREASTP_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,INSULATION_RESISTANCE,BREASTP_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,EQUIPMENT_LEAKAGE_CURRENT,BREASTP_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,APPLIED_PART_LEAKAGE_CURRENT,BREASTP_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Suction Pump.pdf [verified]
BREAST_PUMPS,VACUUM_GAUGE_ACCURACY,BREASTP_VACUUM_GAUGE,Vacuum Gauge Accuracy,MMHG,CONFIRMED,LK Suction Pump.pdf
BREAST_PUMPS,MAXIMUM_VACUUM,BREASTP_MAX_VACUUM,Maximum Vacuum,MMHG,CONFIRMED,LK Suction Pump.pdf
BREAST_PUMPS,TIME_TO_MAX_VACUUM,BREASTP_TIME_MAX_VACUUM,Time to Maximum Vacuum,SEC,CONFIRMED,LK Suction Pump.pdf
ELECTRIC_BEDS,ROOM_TEMPERATURE,EBED_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,ROOM_HUMIDITY,EBED_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,INPUT_VOLTAGE,EBED_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,PROTECTIVE_EARTH_RESISTANCE,EBED_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,INSULATION_RESISTANCE,EBED_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,EQUIPMENT_LEAKAGE_CURRENT,EBED_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Kelistrikan.pdf p1
ELECTRIC_BEDS,APPLIED_PART_LEAKAGE_CURRENT,EBED_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Kelistrikan.pdf p1
OXYGEN_CONCENTRATORS,ROOM_TEMPERATURE,O2CON_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Oksigen Concentrator.pdf p1 [verified: NO voltage/electrical-safety section in this LK]
OXYGEN_CONCENTRATORS,ROOM_HUMIDITY,O2CON_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Oksigen Concentrator.pdf p1 [verified: NO voltage/electrical-safety section in this LK]
OXYGEN_CONCENTRATORS,FLOW_RATE_ACCURACY,O2CON_FLOW_RATE,Gas Flow Rate Accuracy,L_MIN,CONFIRMED,LK Oksigen Concentrator.pdf p1
OXYGEN_CONCENTRATORS,OXYGEN_CONCENTRATION_ACCURACY,O2CON_CONCENTRATION,Oxygen Concentration Accuracy,PERCENT,CONFIRMED,LK Oksigen Concentrator.pdf p2
SPHYGMOMANOMETERS,ROOM_TEMPERATURE,SPHYG_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Sphygmomanometer.pdf p1
SPHYGMOMANOMETERS,ROOM_HUMIDITY,SPHYG_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Sphygmomanometer.pdf p1
