code,name,description,evidence_source
INCUBATOR_ENVIRONMENT,Incubator Environment,"Baby incubator air temperature calibration, overshoot temperature, temperature recovery time, mattress temperature, air velocity, noise level, and skin temperature sensor calibration.",LK Baby Incubator.pdf (Kalibrasi Suhu Udara; Overshot Temperature/Waktu Pemulihan/Suhu Matras/Kecepatan Udara/Kebisingan; Kalibrasi Sensor Temperature Kulit)
WARMER_SURFACE_TEMPERATURE,Warmer Surface Temperature,"Infant/radiant warmer mattress surface maximum temperature and general temperature calibration.",LK Infant Warmer.pdf (Kalibrasi suhu maksimum pada permukaan matras; Kalibrasi suhu)
HUMIDIFIER_TEMPERATURE,Humidifier Temperature,"Humidifier temperature accuracy and maximum temperature.",LK Humidifier.pdf (Akurasi Suhu; Suhu Maksimum)
VACUUM_SUCTION,Vacuum / Suction Performance,"Vacuum gauge accuracy, maximum vacuum level, and time-to-maximum-vacuum for suction/breast pump devices.",LK Suction Pump.pdf (Akurasi Vacuum Gauge; Maximum Vacuum; Waktu Yang Dibutuhkan Saat Daya Hisap Maksimum)
ROTATIONAL_SPEED,Rotational Speed & Timing,"Centrifuge rotation speed and rotation time accuracy.",LK Centrifuge.pdf (Kalibrasi Kecepatan Putar; Kalibrasi Waktu Putar)
INFUSION_FLOW,Infusion Flow Performance,"Infusion/syringe pump occlusion test and flow rate calibration.",LK Infusion Pump.pdf (Pengujian Occlusion/Pemampatan; Kalibrasi Laju aliran); LK Syringe Pump.pdf (same)
OPTICAL_MAGNIFICATION,Optical Magnification,"Microscope objective magnification accuracy at multiple magnification levels and magnification ratio.",LK Mikroskop Laboratorium.pdf (Pembesaran Objektif 4x; Pembesaran Objektif 10x; Nilai Ratio Pembesaran)
GAS_FLOW_RATE,Gas Flow Rate,"Gas flow rate accuracy for flow meters, nebulizer compressors, and oxygen concentrators.",LK Flow Meter.pdf (Flow/Laju aliran); LK Nebulizer Compressor.pdf (Laju aliran gas); LK Nebulizer Ultrasonic.pdf (Laju aliran gas); LK Oksigen Concentrator.pdf (Laju aliran gas flowmeter)
OXYGEN_CONCENTRATION,Oxygen Concentration,"Output oxygen concentration accuracy for oxygen concentrators.",LK Oksigen Concentrator.pdf (Konsentrasi Oksigen)
ULTRASOUND_IMAGING,Ultrasound Imaging Performance,"Ultrasonograph (USG) image quality tests: dead zone, axial/lateral resolution, penetration depth, vertical/horizontal distance calibration.",LK Ultrasonograph (USG).pdf (Pengujian Dead Zone; Pengujian Axial dan Lateral Resolution; Pengujian Penetrasi Kedalaman; Kalibrasi Jarak Vertikal; Kalibrasi Jarak Horizontal)
MASS_WEIGHING,Mass Weighing Performance,"Scale repeatability and deviation-from-nominal testing for infant/adult weighing scales.",LK Timbangan Bayi.pdf (Kalibrasi Daya Ulang Pembacaan; Penyimpangan Dari Nilai Nominal); LK Timbangan Dewasa.pdf (same)
